,Lower deep water,Oxygen minimum,Labrador seawater,Labrador seawater,Labrador seawater,Oxygen minimum,Bag City,Marker 52
Acidobacteria,0.0133333333333333,0.0133333333333333,0.0151515151515152,0.0153846153846154,0.0350877192982456,0,0.00380228136882129,0.00547945205479452
Actinobacteria,0.173333333333333,0.146666666666667,0.121212121212121,0.123076923076923,0.105263157894737,0.0294117647058824,0,0.0328767123287671
Aquificae,0,0,0,0,0,0,0,0.00273972602739726
Bacteroidetes,0.0266666666666667,0.0666666666666667,0.0151515151515152,0.0153846153846154,0.0175438596491228,0.0294117647058824,0.0152091254752852,0.0712328767123288
Caldiserica,0,0,0,0.0153846153846154,0,0,0,0
Chlamydiae,0,0,0,0,0,0,0.00380228136882129,0
Chlorobi,0,0,0,0,0,0,0,0.00547945205479452
Chloroflexi,0.0666666666666667,0.0133333333333333,0.0151515151515152,0.0153846153846154,0.0175438596491228,0.0294117647058824,0.00760456273764259,0.0191780821917808
Crenarchaeota,0,0,0,0,0.0175438596491228,0,0,0
Cyanobacteria,0,0.0133333333333333,0.0303030303030303,0,0,0,0,0
Deinococcus-Thermus,0.0266666666666667,0,0,0,0.0175438596491228,0,0,0.00273972602739726
Euryarchaeota,0.0133333333333333,0.0266666666666667,0.0151515151515152,0,0,0,0.00760456273764259,0.00273972602739726
Firmicutes,0.106666666666667,0.04,0.0303030303030303,0.0461538461538462,0.0350877192982456,0.0294117647058824,0.0228136882129278,0.0301369863013699
Fusobacteria,0.0133333333333333,0,0,0,0,0,0.0532319391634981,0.00273972602739726
Lentisphaerae,0,0,0,0,0,0,0,0.0219178082191781
Nitrospira,0.0133333333333333,0,0,0,0,0,0,0
Planctomycetes,0,0,0,0,0,0.0294117647058824,0,0
Proteobacteria,0.546666666666667,0.666666666666667,0.696969696969697,0.738461538461539,0.719298245614035,0.823529411764706,0.878326996197719,0.753424657534247
Synergistetes,0,0,0.0151515151515152,0.0153846153846154,0.0175438596491228,0.0294117647058824,0,0.0410958904109589
Tenericutes,0,0,0,0,0,0,0,0.00273972602739726
Thermodesulfobacteria,0,0,0,0,0,0,0.00380228136882129,0.00273972602739726
Thermotogae,0,0,0.0151515151515152,0.0153846153846154,0,0,0,0
Verrucomicrobia,0,0.0133333333333333,0.0303030303030303,0,0.0175438596491228,0,0,0.00273972602739726
WS3,0,0,0,0,0,0,0.00380228136882129,0
